Machine,Workflow,NumberSequences,Task,WorkflowInputSize,Realtime,%cpu,rss,rchar,wchar,cpus,read_bytes,write_bytes,vmem,memory,peak_rss,TaskInputSize,TaskInputSizeUncompressed,WorkflowInputUncompressed
local,atacseq,18798126,FASTQC,931822514,127811,75.2,1114099712,962684205,3683254,6,983654400,4145152,4553785344,16106127360,1114558464,931822514,3522936056,3522936056
local,atacseq,37596126,FASTQC,1862380804,159797,103.4,1037811712,1893321816,3704587,6,1862418432,4161536,4475789312,16106127360,1037811712,1862380804,7045849256,7045849256
local,atacseq,1175000,FASTQC,58238751,10711,163.9,340467712,89066074,3615198,6,58372096,3985408,4555882496,16106127360,340508672,58238751,220203968,220203968
local,atacseq,147000,FASTQC,7287465,6607,173.3,273965056,38102521,3579495,6,7290880,3952640,4555882496,16106127360,278888448,7287465,27547568,27547568
local,atacseq,587600,FASTQC,29105620,8629,162.4,276144128,59928519,3604213,6,29110272,3977216,4555882496,16106127360,280883200,29105620,110119968,110119968
local,atacseq,2349800,FASTQC,116545329,16704,140.8,430321664,147379628,3625604,6,116547584,3993600,4551688192,16106127360,430321664,116545329,440371968,440371968
local,atacseq,293800,FASTQC,14554208,7621,175.8,271597568,45377936,3601563,6,14561280,3977216,4559781888,16106127360,271597568,14554208,55059168,55059168
local,atacseq,4699600,FASTQC,233161053,24745,126.1,747565056,264006670,3653085,6,233168896,4014080,4475789312,16106127360,747565056,233161053,880745968,880745968
local,atacseq,73600,FASTQC,3653358,5652,193.7,270147584,34437420,3596873,6,3657728,3973120,4555882496,16106127360,272424960,3653358,13791968,13791968
local,atacseq,9399126,FASTQC,466177547,44726,114.5,1051279360,497034287,3673563,6,466190336,4042752,4549591040,16106127360,1051279360,466177547,1761479256,1761479256
local,atacseq,37596126,TRIMGALORE,1862380804,539732,573.8,1994952704,51769700202,49827776928,8,11325440,3103039488,3197632512,16106127360,2009370624,1862380804,7045849256,7045849256
local,atacseq,147000,TRIMGALORE,7287465,9947,275.0,198778880,256021546,211748533,8,0,16232448,3273535488,16106127360,198778880,7287465,27547568,27547568
local,atacseq,293800,TRIMGALORE,14554208,34401,112.3,238952448,474100827,419193810,8,80650240,28360704,3235684352,16106127360,238952448,14554208,55059168,55059168
local,atacseq,2349800,TRIMGALORE,116545329,66221,328.9,368664576,3490315767,3294133111,8,130191360,197971968,3205394432,16106127360,372436992,116545329,440371968,440371968
local,atacseq,18798126,TRIMGALORE,931822514,289252,542.7,1512673280,26021007110,25009596872,8,635588608,1553805312,3197652992,16106127360,1569120256,931822514,3522936056,3522936056
local,atacseq,4699600,TRIMGALORE,233161053,79360,509.1,548175872,6708717855,6395927116,8,196247552,391536640,3205394432,16106127360,562741248,233161053,880745968,880745968
local,atacseq,1175000,TRIMGALORE,58238751,25114,439.5,240459776,1784357786,1665524071,8,58245120,101040128,3199733760,16106127360,240459776,58238751,220203968,220203968
